"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG005",-13.1270560373576,-3.5613485396582,NA,"male",81.19578148,"Hybrid",NA,"3"
"ANG006",45.2871812593765,-11.0016541231522,NA,"male",74.19673505,"Hybrid",NA,"2"
"ANG015",-4.82087998404103,-17.1809446109559,NA,"male",81.47608397,"Hybrid",NA,"3"
"ANG016",-3.35002960207906,-12.8564403060353,NA,"male",78.90139717,"Hybrid",NA,"3"
"ANG017",-10.00238344381,-8.05121669078804,NA,"male",77.7336136,"Hybrid",NA,"3"
"ANG018",-8.09703269733828,0.663284905410173,NA,"male",78.9173985,"Hybrid",NA,"3"
"ANG020",-9.06060920759442,-2.04259295392518,NA,"male",81.76416287,"Hybrid",NA,"3"
"ANG022",-5.5147029600866,-9.97603187424832,NA,"male",80.62543146,"Hybrid",NA,"3"
"ANG025",-7.00292058098907,-10.3334039827976,NA,"male",75.10432022,"Hybrid",NA,"3"
"ANG028",56.4708000571773,-13.2285685292783,NA,"male",82.0356951,"Hybrid",NA,"2"
"ANG031",-13.0332330013394,-4.78479195859581,NA,"male",82.58195565,"Hybrid",NA,"3"
"ANG036",-4.59868051750392,-0.348018634707477,NA,"male",80.61095728,"Hybrid",NA,"3"
"ANG041",-9.96643323824851,-3.75539969416512,NA,"male",83.17705298,"Hybrid",NA,"3"
"ANG052",-11.634002934392,-7.4150381691955,NA,"male",72.57624026,"Hybrid",NA,"3"
"ANG059",-6.92232190424327,-13.7016623017344,NA,"male",71.85744935,"Hybrid",NA,"3"
"ANG061",-7.21845391030846,-4.05762860952203,NA,"male",72.41932278,"Hybrid",NA,"3"
"ANG066",-4.7493611947378,-21.6519997869198,NA,"male",72.57388222,"Hybrid",NA,"3"
"ANG070",-8.03072555063093,-6.01646425589215,NA,"male",72.65583754,"Hybrid",NA,"3"
"ANG072",-10.0493569800146,-3.76345062172182,NA,"male",72.30831424,"Hybrid",NA,"3"
"ANG081",-6.1500861544467,-12.8170933761403,NA,"male",72.04206812,"Hybrid",NA,"3"
"ANG086",-4.96499553851106,-10.4927182295237,NA,"male",71.88436006,"Hybrid",NA,"3"
"ANG092",-5.31857991712417,-8.15723056210433,NA,"male",70.3859778,"Hybrid",NA,"3"
"ANG096",-8.27483639002126,-4.79760436783389,NA,"male",69.24798652,"Hybrid",NA,"3"
"ANG104",-9.528316250011,-8.56985534918109,NA,"male",NA,NA,NA,"3"
"ANG106",-4.0180554818295,-7.61757685775352,"Crab","male",66.63456719,"Crab","C_M","3"
"ANG107",-10.4313394464843,-2.18618193675739,NA,"male",68.19706156,"Hybrid",NA,"3"
"ANG108",-6.15486367788317,-1.23737948721391,NA,"male",68.30760308,"Hybrid",NA,"3"
"ANG109",-6.3353115833672,-10.160450293468,"Crab","male",67.26462315,"Crab","C_M","3"
"ANG110",-10.8294123993674,-7.26324354827095,NA,"male",68.64972952,"Hybrid",NA,"3"
"ANG112",-11.4318611526622,-7.73898542665147,"Crab","male",65.58096029,"Crab","C_M","3"
"ANG114",-8.43559157058632,-11.987152191141,NA,"male",68.60682446,"Hybrid",NA,"3"
"ANG118",-8.11851577567139,-16.8163755015306,"Crab","male",67.65015741,"Crab","C_M","3"
"ANG120",-8.02584453863724,-12.1403717980812,"Crab","male",66.03438464,"Crab","C_M","3"
"ANG124",-7.90172561703647,-16.4515018562957,"Crab","male",66.75713657,"Crab","C_M","3"
"ANG125",-9.48673325856593,-7.83433831055063,"Crab","male",66.52438463,"Crab","C_M","3"
"ANG127",-12.6587558842019,-7.00333369375973,"Crab","male",65.79175559,"Crab","C_M","3"
"ANG130",-9.27872981716834,0.382378205213111,"Crab","male",64.28554263,"Crab","C_M","3"
"ANG134",-11.8082199480977,-2.60429754470444,"Crab","male",64.38125506,"Crab","C_M","3"
"ANG135",1.2893428096331,-17.9807756020391,"Crab","male",64.81671018,"Crab","C_M","3"
"ANG140",-5.5987551131056,-5.73357827239376,"Crab","male",64.48466831,"Crab","C_M","3"
"ANG145",-1.42748279264435,-3.46229199123007,"Crab","male",65.49117563,"Crab","C_M","3"
"ANG147",56.1339994028481,-15.8189151329932,"Crab","male",64.69234075,"Crab","C_M","2"
"ANG154",-9.55178512135487,-6.27142808557463,"Crab","male",62.46770351,"Crab","C_M","3"
"ANG156",-11.9285604368411,-6.56085422381924,"Crab","male",63.07294063,"Crab","C_M","3"
"ANG159",-2.06808842828962,-6.92515049066575,"Crab","male",61.99682207,"Crab","C_M","3"
"ANG160",-4.13496336979413,-12.2464233751786,"Crab","male",61.57430741,"Crab","C_M","3"
"ANG161",-6.50503698745167,-15.1785953448204,"Crab","male",61.0731491,"Crab","C_M","3"
"ANG166",-11.3551152369069,-2.42359564926134,"Crab","male",61.6603954,"Crab","C_M","3"
"ANG167",-9.90295604326221,-5.81826833484206,"Crab","male",63.08272901,"Crab","C_M","3"
"ANG170",-4.62215086596961,-16.5399034370439,"Crab","male",62.23633362,"Crab","C_M","3"
"ANG171",-8.84562525520233,-4.21780857282017,"Crab","male",61.98200871,"Crab","C_M","3"
"ANG173",-14.9478853683434,-3.57142831264335,"Crab","male",61.07936143,"Crab","C_M","3"
"ANG176",-9.90335596656646,0.265490898033487,"Crab","male",60.25692512,"Crab","C_M","3"
"ANG177",-9.53870748599255,-13.6798796273381,"Crab","male",60.12956759,"Crab","C_M","3"
"ANG181",-13.0979659241637,-3.09940330753097,"Crab","male",59.62518447,"Crab","C_M","3"
"ANG183",-4.44790972589128,-7.08759782176119,"Crab","male",60.86467442,"Crab","C_M","3"
"ANG184",-10.5725383144414,-3.84756649035219,"Crab","male",59.50322859,"Crab","C_M","3"
"ANG185",-9.40460312231665,-0.821813720629354,"Crab","male",58.82755166,"Crab","C_M","3"
"ANG188",-11.4155032753148,-7.32631446905265,"Crab","male",59.93483643,"Crab","C_M","3"
"ANG189",-5.95813219011708,-8.69827529615054,"Crab","male",59.20198441,"Crab","C_M","3"
"ANG194",-11.3350230281823,-10.8891053827483,"Crab","male",58.12673257,"Crab","C_M","3"
"ANG196",-5.75016170409993,-8.1340558443381,"Crab","male",59.54209944,"Crab","C_M","3"
"ANG199",-6.45063602232718,-11.6064542099655,"Crab","male",60.17681238,"Crab","C_M","3"
"ANG201",-9.01198390268293,0.0893323162645785,"Crab","male",59.71621966,"Crab","C_M","3"
"ANG207",-7.25624780381352,-9.59566638511725,"Crab","male",56.15588893,"Crab","C_M","3"
"ANG208",-7.43428941867121,-8.626364965153,"Crab","male",56.8917112,"Crab","C_M","3"
"ANG209",-12.2424849837286,-2.51935961990891,"Crab","male",57.52680697,"Crab","C_M","3"
"ANG210",-8.09380827794146,-4.55679325420575,"Crab","male",57.23651244,"Crab","C_M","3"
"ANG211",-8.36814291054676,-15.6531312892646,"Crab","male",56.91667454,"Crab","C_M","3"
"ANG213",-10.0082169245883,-5.2015725677275,"Crab","male",55.01368529,"Crab","C_M","3"
"ANG215",-9.71172531077189,-13.0142382776332,"Crab","male",55.76040057,"Crab","C_M","3"
"ANG217",-11.2947652721759,-4.84281422630782,"Crab","male",53.89868369,"Crab","C_M","3"
"ANG220",-3.94790096588043,-19.9050091770368,"Crab","male",54.47239868,"Crab","C_M","3"
"ANG221",-3.2586018746346,-20.7229527532704,"Crab","male",54.21186152,"Crab","C_M","3"
"ANG223",-8.23639685243931,-4.2326445321489,"Crab","male",53.00323972,"Crab","C_M","3"
"ANG225",-7.04553427985008,-14.3638445046652,"Crab","male",51.49130379,"Crab","C_M","3"
"ANG228",-9.38831827796608,4.25080420710434,"Crab","male",50.22690782,"Crab","C_M","3"
"ANG230",-9.65228444220264,-5.70611700171402,"Crab","male",52.68488425,"Crab","C_M","3"
"ANG231",-2.86085461522092,-12.4131632771095,"Crab","male",50.68312636,"Crab","C_M","3"
"ANG232",-10.4906468862126,-15.9991374355845,"Crab","male",50.01403332,"Crab","C_M","3"
"ANG235",-8.13717607441577,-0.647235784053642,NA,"male",NA,NA,NA,"3"
"ANG237",56.3341419269488,-11.7719945503839,"Crab","male",49.89300842,"Crab","C_M","2"
"ANG242",-4.49601157454792,3.77729033124373,"Crab","male",48.3098033,"Crab","C_M","3"
"ANG246",-10.6641218691549,-12.4525111518184,"Crab","male",47.47379551,"Crab","C_M","3"
"ANG248",-8.1853169348319,-7.56117683268409,"Crab","male",47.12537599,"Crab","C_M","3"
"ANG250",-9.16842434467136,-9.95718597284007,"Crab","male",46.11526549,"Crab","C_M","3"
"ANG252",-7.91110414624629,-2.81455206282937,"Crab","male",6.578057236,"Crab","C_M","3"
"ANG253",-0.92775612824423,-13.8378265015234,"Crab","male",7.191710248,"Crab","C_M","3"
"ANG257",-13.8904383682646,-5.94409909149833,"Crab","male",7.566994132,"Crab","C_M","3"
"ANG265",-6.24703292839575,-7.33433247675143,"Crab","male",1.447879634,"Crab","C_M","3"
"ANG267",-3.275913431431,-21.0591813288562,"Crab","male",1.398238897,"Crab","C_M","3"
"ANG274",-12.0370493619106,-4.85480933379248,NA,"male",71.91632461,"Hybrid",NA,"3"
"ANG280",-10.6511390699325,-1.21931060688894,NA,"male",69.10299273,"Hybrid",NA,"3"
"ANG283",-5.15508755364703,-13.3920811066281,NA,"male",69.15762646,"Hybrid",NA,"3"
"ANG285",-9.1030782650602,-4.32443307011946,NA,"male",72.24244502,"Hybrid",NA,"3"
"ANG289",-1.27742987096214,-4.40985829404445,NA,"male",72.55069691,"Hybrid",NA,"3"
"ANG290",-5.80980293799342,-9.95047201069739,NA,"male",72.51905097,"Hybrid",NA,"3"
"ANG294",-11.4857158768059,-2.77467687913327,NA,"male",80.53530813,"Hybrid",NA,"3"
"ANG297",-7.77696144971248,-8.19779498437534,NA,"male",74.27748375,"Hybrid",NA,"3"
"ANG301",-4.26804228055491,2.04856276390981,NA,"male",84.67420811,"Hybrid",NA,"3"
"ANG304",68.0036896283237,4.4503845872224,NA,"male",85.71493708,"Hybrid",NA,"2"
"ANG305",-10.9010117238598,-9.72664039255778,NA,"male",85.7040865,"Hybrid",NA,"3"
"ANG306",3.06583687597256,10.6099222070673,NA,"male",85.68945712,"Hybrid",NA,"3"
"ANG313",109.452104447196,-22.8773283817238,NA,"male",85.53351278,"Hybrid",NA,"1"
"ANG316",-6.84084232544099,-24.0670629885849,NA,"male",86.19514779,"Hybrid",NA,"3"
"ANG319",-0.756611865927004,5.54231784239427,NA,"male",86.72839788,"Hybrid",NA,"3"
"ANG322",-11.1783408477705,-2.87682969128911,NA,"male",86.34059348,"Hybrid",NA,"3"
"ANG327",-4.965325461558,-12.7487697256604,NA,"male",86.47954078,"Hybrid",NA,"3"
"ANG332",15.9878119196602,34.6073930591681,NA,"male",87.25356214,"Hybrid",NA,"3"
"ANG336",-4.26777504690139,-0.395836231889362,NA,"male",86.94554559,"Hybrid",NA,"3"
"ANG338",-4.25452713658683,-3.68472155829602,NA,"male",86.70140891,"Hybrid",NA,"3"
"ANG339",3.31705456613838,3.56666496031094,NA,"male",86.70140891,"Hybrid",NA,"3"
"ANG341",57.3175537347493,-14.3386043484877,NA,"male",86.18307503,"Hybrid",NA,"2"
"ANG347",2.45065388040279,20.787293255491,NA,"male",85.98642424,"Hybrid",NA,"3"
"ANG348",1.79946847248176,8.02029384089494,NA,"male",85.73274604,"Hybrid",NA,"3"
"ANG351",55.6438257223024,-13.8026442248904,NA,"male",86.43682882,"Hybrid",NA,"2"
"ANG352",-4.99935734383239,-1.2927948719156,NA,"male",86.49084166,"Hybrid",NA,"3"
"ANG357",-11.3480643847375,-8.24601303636151,NA,"male",86.26608537,"Hybrid",NA,"3"
"ANG358",3.81938751536792,22.3903581781463,NA,"male",86.29463295,"Hybrid",NA,"3"
"ANG359",-6.14758518598211,-14.8366363213687,NA,"male",86.29332711,"Hybrid",NA,"3"
"ANG364",-11.015728621719,-20.2247800722341,NA,"male",85.74198216,"Hybrid",NA,"3"
"ANG365",-1.18892840249396,9.13039584842165,NA,"male",85.72771328,"Hybrid",NA,"3"
"ANG367",-8.26228976078524,-15.4825632420033,NA,"male",86.72232106,"Hybrid",NA,"3"
"ANG373",-11.0202429378664,0.399332778483064,NA,"male",86.09587955,"Hybrid",NA,"3"
"ANG377",59.9432319941429,-15.5792706849851,NA,"male",85.67625486,"Hybrid",NA,"2"
"ANG385",57.2397271541138,-13.2533519527694,NA,"male",85.96601016,"Hybrid",NA,"2"
"ANG390",0.917479270739858,-7.6374628031971,NA,"male",86.93647769,"Hybrid",NA,"3"
"ANG396",-4.67344372518288,-6.42494659920771,NA,"male",86.78961258,"Hybrid",NA,"3"
"ANG408",37.1482424386365,3.15697513433704,"Wave","male",93.2325196,"Wave","W_M","2"
"ANG418",2.29331678845251,20.5430229705319,"Wave","male",93.7706404,"Wave","W_M","3"
"ANG422",4.86240860342468,26.2511032132872,"Wave","male",93.97499712,"Wave","W_M","3"
"ANG435",-1.32240242021945,13.2996219260824,"Wave","male",94.42333666,"Wave","W_M","3"
"ANG436",-7.11795718757066,13.3581447747502,"Wave","male",94.43488835,"Wave","W_M","3"
"ANG437",3.05584604304245,20.2547465755129,"Wave","male",95.6490122,"Wave","W_M","3"
"ANG441",59.3703828910861,-16.5941954612613,"Wave","male",96.09884784,"Wave","W_M","2"
"ANG442",5.31246707994283,16.1118340489613,"Wave","male",95.88914982,"Wave","W_M","3"
"ANG443",2.62551577078406,25.1529387874245,"Wave","male",95.88914982,"Wave","W_M","3"
"ANG447",-1.09900453451019,14.228737233133,"Wave","male",95.34230512,"Wave","W_M","3"
"ANG448",-0.570387792274053,22.9436031521714,"Wave","male",95.53798041,"Wave","W_M","3"
"ANG452",-5.07366962038707,19.7884396262248,"Wave","male",97.45225859,"Wave","W_M","3"
"ANG456",13.5566401442624,-1.13024198191611,NA,"male",NA,NA,NA,"3"
"ANG458",5.82790064190897,31.3779680950083,"Wave","male",98.35304788,"Wave","W_M","3"
"ANG461",-0.952118155675832,26.1835257885947,"Wave","male",98.34997902,"Wave","W_M","3"
"ANG464",-3.65322379688131,7.07686320293861,"Wave","male",98.64013742,"Wave","W_M","3"
"ANG465",63.6272377091885,-4.29124843041989,"Wave","male",98.03946756,"Wave","W_M","2"
"ANG473",2.34617569177573,13.1926196509589,"Wave","male",103.4187889,"Wave","W_M","3"
"ANG490",0.273529864603119,28.7766870164233,"Wave","male",105.1810467,"Wave","W_M","3"
"ANG495",4.81247758490726,31.6429595019929,"Wave","male",106.3289604,"Wave","W_M","3"
"ANG497",-1.68001363053912,34.06338131627,"Wave","male",106.6998058,"Wave","W_M","3"
"ANG501",-9.61568121744663,10.1759847804606,"Wave","male",107.4606045,"Wave","W_M","3"
"ANG503",0.852168568118067,24.451012284985,"Wave","male",107.0736028,"Wave","W_M","3"
"ANG507",-6.87711109766418,-2.1373453871216,"Wave","male",107.6513395,"Wave","W_M","3"
"ANG509",-5.54375410053784,20.7656939899367,"Wave","male",108.0937417,"Wave","W_M","3"
"ANG520",-7.36346828301282,21.6703579259781,"Wave","male",109.0480799,"Wave","W_M","3"
"ANG527",-5.56442719314822,25.3390496426354,"Wave","male",111.0273806,"Wave","W_M","3"
"ANG529",-1.94206534015052,21.3695552019592,"Wave","male",111.8137224,"Wave","W_M","3"
"ANG536",11.7764569227658,39.409597477748,"Wave","male",128.8861402,"Wave","W_M","3"
"ANG541",-7.13692123667456,16.5540831767906,"Wave","male",129.4819448,"Wave","W_M","3"
"ANG549",8.87870502572318,30.2082109359512,"Wave","male",130.6463826,"Wave","W_M","3"
"ANG556",9.97362744852816,39.0291935629896,"Wave","male",134.8185256,"Wave","W_M","3"
"ANG557",5.3820690786724,15.0722783991125,"Wave","male",135.1791823,"Wave","W_M","3"
"ANG560",10.5193821920491,44.2484264716313,"Wave","male",136.4467774,"Wave","W_M","3"
"ANG565",-2.0693391227794,19.2944310282201,"Wave","male",140.6601641,"Wave","W_M","3"
"ANG567",10.8269092337987,40.9552253044472,"Wave","male",142.1090505,"Wave","W_M","3"
"ANG570",-0.702825025150562,19.289238256667,"Wave","male",143.0349889,"Wave","W_M","3"
"ANG581",1.71462473502691,32.4229053835331,"Wave","male",150.8686968,"Wave","W_M","3"
"ANG582",10.3699636033173,38.9312769166825,"Wave","male",152.2078875,"Wave","W_M","3"
"ANG585",2.38949282638826,27.8187904160529,"Wave","male",152.647239,"Wave","W_M","3"
"ANG589",0.464692830987586,1.19146351373083,"Wave","male",151.8636169,"Wave","W_M","3"
"ANG592",-4.37374917827493,13.2079067342735,"Wave","male",152.039132,"Wave","W_M","3"
"ANG593",5.607374739653,39.2581050601851,"Wave","male",152.1009048,"Wave","W_M","3"
